"start";"end";"today";"Nombre de la Unidad Educativa";"Descripción";"Ubicación";"_Ubicación_latitude";"_Ubicación_longitude";"_Ubicación_altitude";"_Ubicación_precision";"Tipo de dependencia";"Tipo de dependencia/Fiscal";"Tipo de dependencia/Privado";"Tipo de dependencia/Convenio";"Turno";"Turno/Mañana";"Turno/Tarde";"Turno/Noche";"Niveles";"Niveles/Inicial";"Niveles/Primario";"Niveles/Secundario";"Foto";"Foto_URL";"Tipo";"Tipo/Fiscal";"Tipo/Privado";"Tipo/Convenio";"Mensualidad";"Area";"Frente";"start-geopoint";"_start-geopoint_latitude";"_start-geopoint_longitude";"_start-geopoint_altitude";"_start-geopoint_precision";"username";"deviceid";"phonenumber";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2025-03-28T19:16:53.441-04:00";"2025-04-03T08:11:40.562-04:00";"2025-03-27";"La Salle B";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730715";"-16.548492022158598 -68.08968951999174 0 0";"-16.548492022158598";"-68.08968951999174";"0";"0";"";"";"";"";"Mañana";"1";"0";"0";"";"";"";"";"Captura de pantalla 2025-04-03 080957-8_11_27.png";"https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Fbe205508-21ed-4121-92c3-36c17ffbfa31%2FCaptura_de_pantalla_2025-04-03_080957-8_11_27.png";"";"";"";"";"";"";"";"-16.505951 -68.126781 3589.60009765625 20.679000854492188";"-16.505951";"-68.126781";"3589.60009765625";"20.679000854492188";"username not found";"ee.kobotoolbox.org:8xp494HIMoJRvh9V";"phonenumber not found";"457578843";"be205508-21ed-4121-92c3-36c17ffbfa31";"2025-03-28T23:18:33";"";"";"submitted_via_web";"";"vgfLaQv5nodhjnB8w6sLYb";"";"23"
"2025-03-28T19:18:32.791-04:00";"2025-04-03T08:20:17.657-04:00";"2025-03-27";"Yachaykuna";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730759";"-16.53934714197017 -68.07867665962864 0 0";"-16.53934714197017";"-68.07867665962864";"0";"0";"";"";"";"";"Mañana";"1";"0";"0";"";"";"";"";"Captura de pantalla 2025-04-03 081954-8_20_2.png";"https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F4e881129-bf71-48d4-8d92-cbae1007bb16%2FCaptura_de_pantalla_2025-04-03_081954-8_20_2.png";"";"";"";"";"";"";"";"-16.505997 -68.126824 3590.400146484375 28.267000198364258";"-16.505997";"-68.126824";"3590.400146484375";"28.267000198364258";"username not found";"ee.kobotoolbox.org:8xp494HIMoJRvh9V";"phonenumber not found";"457579059";"4e881129-bf71-48d4-8d92-cbae1007bb16";"2025-03-28T23:20:48";"";"";"submitted_via_web";"";"vgfLaQv5nodhjnB8w6sLYb";"";"24"
"2025-03-28T19:20:48.039-04:00";"2025-04-03T08:15:26.058-04:00";"2025-03-27";"Saint Andrew's School";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730356";"-16.549032174653227 -68.08775539089697 0 0";"-16.549032174653227";"-68.08775539089697";"0";"0";"";"";"";"";"Mañana";"1";"0";"0";"";"";"";"";"Captura de pantalla 2025-04-03 081451-8_14_59.png";"https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Fdedc7e49-6a66-4294-a784-88fcff7ee275%2FCaptura_de_pantalla_2025-04-03_081451-8_14_59.png";"";"";"";"";"";"";"";"-16.505997 -68.126824 3590.400146484375 100";"-16.505997";"-68.126824";"3590.400146484375";"100";"username not found";"ee.kobotoolbox.org:8xp494HIMoJRvh9V";"phonenumber not found";"457579219";"dedc7e49-6a66-4294-a784-88fcff7ee275";"2025-03-28T23:22:40";"";"";"submitted_via_web";"";"vgfLaQv5nodhjnB8w6sLYb";"";"25"
"2025-03-28T19:22:39.632-04:00";"2025-04-03T08:06:18.787-04:00";"2025-03-27";"SAINT ANDREWS";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730356";"-16.548807208963947 -68.08628254538925 0 0";"-16.548807208963947";"-68.08628254538925";"0";"0";"";"";"";"";"Mañana";"1";"0";"0";"";"";"";"";"Captura de pantalla 2025-04-03 080601-8_6_12.png";"https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F571b755b-8b4a-433b-b356-d6d4959f37d4%2FCaptura_de_pantalla_2025-04-03_080601-8_6_12.png";"";"";"";"";"";"";"";"-16.506212 -68.126646 3588.10009765625 25.97599983215332";"-16.506212";"-68.126646";"3588.10009765625";"25.97599983215332";"username not found";"ee.kobotoolbox.org:8xp494HIMoJRvh9V";"phonenumber not found";"457579482";"571b755b-8b4a-433b-b356-d6d4959f37d4";"2025-03-28T23:25:24";"";"";"submitted_via_web";"";"vgfLaQv5nodhjnB8w6sLYb";"";"26"
"2025-03-28T19:25:23.906-04:00";"2025-04-03T08:01:10.708-04:00";"2025-03-27";"Loretto";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730932";"-16.54532031777888 -68.07861949180938 0 0";"-16.54532031777888";"-68.07861949180938";"0";"0";"";"";"";"";"Mañana";"1";"0";"0";"";"";"";"";"Captura de pantalla 2025-04-03 080014-8_0_28.png";"https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F1d54f608-62d4-4665-a58e-3dfb04e48767%2FCaptura_de_pantalla_2025-04-03_080014-8_0_28.png";"";"";"";"";"";"";"";"-16.505663 -68.126654 3586.900146484375 17.479000091552734";"-16.505663";"-68.126654";"3586.900146484375";"17.479000091552734";"username not found";"ee.kobotoolbox.org:8xp494HIMoJRvh9V";"phonenumber not found";"457580419";"1d54f608-62d4-4665-a58e-3dfb04e48767";"2025-03-28T23:33:17";"";"";"submitted_via_web";"";"vgfLaQv5nodhjnB8w6sLYb";"";"27"
"2025-03-28T19:33:15.801-04:00";"2025-04-03T07:56:31.345-04:00";"2025-03-27";"Los pinos";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730364";"-16.541627792570267 -68.07642602570618 0 0";"-16.541627792570267";"-68.07642602570618";"0";"0";"";"";"";"";"Mañana";"1";"0";"0";"";"";"";"";"Captura de pantalla 2025-04-03 075518-7_55_43.png";"https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F158eadac-0056-446b-9cdd-a5be28ad059d%2FCaptura_de_pantalla_2025-04-03_075518-7_55_43.png";"";"";"";"";"";"";"";"-16.505852 -68.127119 3591.7001953125 12.75100040435791";"-16.505852";"-68.127119";"3591.7001953125";"12.75100040435791";"username not found";"ee.kobotoolbox.org:8xp494HIMoJRvh9V";"phonenumber not found";"457580462";"158eadac-0056-446b-9cdd-a5be28ad059d";"2025-03-28T23:33:56";"";"";"submitted_via_web";"";"vgfLaQv5nodhjnB8w6sLYb";"";"28"
"2025-03-28T19:33:55.669-04:00";"2025-03-28T19:35:10.895-04:00";"2025-03-27";"C. E. A";"";"-16.5389064 -68.0779062 0 0";"-16.5389064";"-68.0779062";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"-16.505856 -68.12709 3591.7001953125 12.397000312805176";"-16.505856";"-68.12709";"3591.7001953125";"12.397000312805176";"username not found";"ee.kobotoolbox.org:8xp494HIMoJRvh9V";"phonenumber not found";"457580615";"3bfcba1d-c004-4076-a4bc-c33003795d9c";"2025-03-28T23:35:11";"";"";"submitted_via_web";"";"vgfLaQv5nodhjnB8w6sLYb";"";"29"
"2025-03-28T19:35:10.938-04:00";"2025-04-03T08:31:28.355-04:00";"2025-03-27";"Rene Barrientos Ortuño A";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730621";"-16.538863048402035 -68.07806709698734 0 0";"-16.538863048402035";"-68.07806709698734";"0";"0";"";"";"";"";"Tarde";"0";"1";"0";"";"";"";"";"Captura de pantalla 2025-04-03 082747-8_31_26.png";"https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F6139f392-b168-4804-92c5-5dfcfe789861%2FCaptura_de_pantalla_2025-04-03_082747-8_31_26.png";"";"";"";"";"";"";"";"-16.505882 -68.12711 3591.7001953125 13.864999771118164";"-16.505882";"-68.12711";"3591.7001953125";"13.864999771118164";"username not found";"ee.kobotoolbox.org:8xp494HIMoJRvh9V";"phonenumber not found";"457580678";"6139f392-b168-4804-92c5-5dfcfe789861";"2025-03-28T23:35:53";"";"";"submitted_via_web";"";"vgfLaQv5nodhjnB8w6sLYb";"";"30"
"2025-03-28T19:35:52.418-04:00";"2025-04-03T08:30:47.517-04:00";"2025-03-27";"Julio Cesar Patiño B";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730623";"-16.53812644647466 -68.07779309146791 0 0";"-16.53812644647466";"-68.07779309146791";"0";"0";"";"";"";"";"Mañana";"1";"0";"0";"";"";"";"";"Captura de pantalla 2025-04-03 082849-8_30_45.png";"https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F721ead30-68cc-4164-84f6-379684097412%2FCaptura_de_pantalla_2025-04-03_082849-8_30_45.png";"";"";"";"";"";"";"";"-16.505845 -68.127114 3591.7001953125 11.477999687194824";"-16.505845";"-68.127114";"3591.7001953125";"11.477999687194824";"username not found";"ee.kobotoolbox.org:8xp494HIMoJRvh9V";"phonenumber not found";"457580902";"721ead30-68cc-4164-84f6-379684097412";"2025-03-28T23:38:48";"";"";"submitted_via_web";"";"vgfLaQv5nodhjnB8w6sLYb";"";"31"
"2025-03-28T19:38:47.864-04:00";"2025-04-03T08:34:53.065-04:00";"2025-03-27";"San Andres A";"https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730325";"-16.538022276915484 -68.0710285634106 0 0";"-16.538022276915484";"-68.0710285634106";"0";"0";"";"";"";"";"Mañana";"1";"0";"0";"";"";"";"";"Captura de pantalla 2025-04-03 083442-8_34_50.png";"https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Fdf0196a2-7144-41aa-98ca-690c60ee378e%2FCaptura_de_pantalla_2025-04-03_083442-8_34_50.png";"";"";"";"";"";"";"";"-16.505741 -68.127001 3591.7001953125 6.080999851226807";"-16.505741";"-68.127001";"3591.7001953125";"6.080999851226807";"username not found";"ee.kobotoolbox.org:8xp494HIMoJRvh9V";"phonenumber not found";"457581032";"df0196a2-7144-41aa-98ca-690c60ee378e";"2025-03-28T23:40:56";"";"";"submitted_via_web";"";"vgfLaQv5nodhjnB8w6sLYb";"";"32"
