rude,año,matricula_total,matricula_mujer,matricula_hombre,promovidos_total,promovidos_mujer,promovidos_hombre,reprobados_total,reprobados_mujer,reprobados_hombre,abandono_total,abandono_mujer,abandono_hombre
80730487,2021,501,286,215,501,286,215,0,0,0,0,0,0
80730487,2022,511,298,213,510,297,213,0,0,0,1,1,0
80730487,2023,531,298,233,530,297,233,1,1,0,0,0,0
80730896,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730896,2019,0,0,0,0,0,0,0,0,0,0,0,0
80730896,2020,62,23,39,0,0,0,0,0,0,0,0,0
80730896,2021,42,17,25,42,17,25,0,0,0,0,0,0
80730896,2022,50,23,27,48,23,25,0,0,0,2,0,2
80730896,2023,58,28,30,53,25,28,0,0,0,5,3,2
80730248,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730248,2019,469,216,253,458,211,247,5,3,2,6,2,4
80730248,2020,474,214,260,0,0,0,0,0,0,0,0,0
80730248,2021,383,179,204,379,178,201,2,1,1,2,0,2
80730248,2022,408,203,205,407,202,205,0,0,0,1,1,0
80730248,2023,470,230,240,462,227,235,3,1,2,5,2,3
80730463,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730463,2019,390,202,188,374,193,181,3,0,3,13,9,4
80730463,2020,383,196,187,0,0,0,0,0,0,0,0,0
80730463,2021,401,200,201,393,198,195,3,1,2,5,1,4
80730463,2022,388,196,192,356,180,176,8,3,5,24,13,11
80730463,2023,373,185,188,367,184,183,4,1,3,2,0,2
80730464,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730464,2019,563,278,285,549,277,272,10,0,10,4,1,3
80730464,2020,606,290,316,0,0,0,0,0,0,0,0,0
80730464,2021,621,301,320,617,299,318,2,1,1,2,1,1
80730464,2022,628,320,308,618,314,304,5,3,2,5,3,2
80730464,2023,574,285,289,561,282,279,9,2,7,4,1,3
80730334,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730334,2019,377,201,176,371,198,173,0,0,0,6,3,3
80730334,2020,399,210,189,0,0,0,0,0,0,0,0,0
80730334,2021,387,196,191,369,187,182,0,0,0,18,9,9
80730334,2022,381,202,179,369,194,175,0,0,0,12,8,4
80730334,2023,373,197,176,366,195,171,2,0,2,5,2,3
80730715,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730715,2019,1247,656,591,1229,651,578,14,3,11,4,2,2
80730715,2020,1250,653,597,0,0,0,0,0,0,0,0,0
80730715,2021,1262,656,606,1255,653,602,3,0,3,4,3,1
80730715,2022,1270,664,606,1265,661,604,1,0,1,4,3,1
80730715,2023,1254,647,607,1245,643,602,4,2,2,5,2,3
80730759,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730759,2019,69,31,38,66,31,35,0,0,0,3,0,3
80730759,2020,69,31,38,0,0,0,0,0,0,0,0,0
80730759,2021,79,39,40,77,38,39,0,0,0,2,1,1
80730759,2022,118,53,65,118,53,65,0,0,0,0,0,0
80730759,2023,156,60,96,152,58,94,0,0,0,4,2,2
80730356,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730356,2019,1321,659,662,1314,654,660,0,0,0,7,5,2
80730356,2020,1343,669,674,0,0,0,0,0,0,0,0,0
80730356,2021,1370,671,699,1362,668,694,0,0,0,8,3,5
80730356,2022,1383,670,713,1368,666,702,0,0,0,15,4,11
80730356,2023,1385,659,726,1376,655,721,0,0,0,9,4,5
80730932,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730932,2019,0,0,0,0,0,0,0,0,0,0,0,0
80730932,2020,0,0,0,0,0,0,0,0,0,0,0,0
80730932,2021,0,0,0,0,0,0,0,0,0,0,0,0
80730932,2022,0,0,0,0,0,0,0,0,0,0,0,0
80730932,2023,495,227,268,493,226,267,2,1,1,0,0,0
80730364,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730364,2019,883,387,496,849,374,475,23,4,19,11,9,2
80730364,2020,811,360,451,0,0,0,0,0,0,0,0,0
80730364,2021,697,315,382,684,315,369,9,0,9,4,0,4
80730364,2022,715,336,379,701,334,367,7,1,6,7,1,6
80730364,2023,801,383,418,781,370,411,11,8,3,9,5,4
80730623,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730623,2019,797,408,389,791,406,385,0,0,0,6,2,4
80730623,2020,774,410,364,0,0,0,0,0,0,0,0,0
80730623,2021,760,405,355,743,400,343,17,5,12,0,0,0
80730623,2022,755,406,349,745,403,342,10,3,7,0,0,0
80730623,2023,749,391,358,744,389,355,5,2,3,0,0,0
80730325,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730325,2019,540,259,281,517,257,260,20,1,19,3,1,2
80730325,2020,528,247,281,0,0,0,0,0,0,0,0,0
80730325,2021,521,247,274,521,247,274,0,0,0,0,0,0
80730325,2022,532,260,272,528,259,269,1,0,1,3,1,2
80730325,2023,542,277,265,538,276,262,3,1,2,1,0,1
80730347,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730347,2019,347,0,347,345,0,345,0,0,0,2,0,2
80730347,2020,345,0,345,0,0,0,0,0,0,0,0,0
80730347,2021,339,0,339,337,0,337,2,0,2,0,0,0
80730347,2022,323,0,323,322,0,322,0,0,0,1,0,1
80730347,2023,310,0,310,310,0,310,0,0,0,0,0,0
80730404,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730404,2019,268,141,127,255,136,119,2,1,1,11,4,7
80730404,2020,258,123,135,0,0,0,0,0,0,0,0,0
80730404,2021,242,115,127,215,109,106,8,3,5,19,3,16
80730404,2022,200,105,95,187,98,89,0,0,0,13,7,6
80730404,2023,178,102,76,171,96,75,0,0,0,7,6,1
80730405,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730405,2019,565,324,241,563,324,239,0,0,0,2,0,2
80730405,2020,551,318,233,0,0,0,0,0,0,0,0,0
80730405,2021,524,289,235,517,286,231,4,2,2,3,1,2
80730405,2022,499,283,216,499,283,216,0,0,0,0,0,0
80730405,2023,499,277,222,493,276,217,5,1,4,1,0,1
80730326,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730326,2019,542,275,267,541,275,266,0,0,0,1,0,1
80730326,2020,509,268,241,0,0,0,0,0,0,0,0,0
80730326,2021,537,276,261,535,275,260,0,0,0,2,1,1
80730326,2022,528,270,258,526,270,256,0,0,0,2,0,2
80730326,2023,520,269,251,520,269,251,0,0,0,0,0,0
80730624,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730624,2019,739,365,374,733,365,368,1,0,1,5,0,5
80730624,2020,733,332,401,0,0,0,0,0,0,0,0,0
80730624,2021,717,324,393,673,309,364,24,9,15,20,6,14
80730624,2022,702,313,389,664,303,361,34,7,27,4,3,1
80730624,2023,719,318,401,696,308,388,15,6,9,8,4,4
80730622,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730622,2019,219,127,92,219,127,92,0,0,0,0,0,0
80730622,2020,237,127,110,0,0,0,0,0,0,0,0,0
80730622,2021,219,100,119,218,100,118,0,0,0,1,0,1
80730622,2022,190,87,103,190,87,103,0,0,0,0,0,0
80730622,2023,206,99,107,206,99,107,0,0,0,0,0,0
80730625,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730625,2019,212,93,119,209,90,119,0,0,0,3,3,0
80730625,2020,198,100,98,0,0,0,0,0,0,0,0,0
80730625,2021,196,91,105,196,91,105,0,0,0,0,0,0
80730625,2022,194,81,113,191,81,110,0,0,0,3,0,3
80730625,2023,210,97,113,210,97,113,0,0,0,0,0,0
80730621,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730621,2019,584,277,307,546,272,274,27,5,22,11,0,11
80730621,2020,573,285,288,0,0,0,0,0,0,0,0,0
80730621,2021,584,294,290,541,282,259,32,12,20,11,0,11
80730621,2022,609,311,298,577,303,274,27,6,21,5,2,3
80730621,2023,608,320,288,563,305,258,38,12,26,7,3,4
80730585,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730585,2019,508,252,256,506,250,256,0,0,0,2,2,0
80730585,2020,510,235,275,0,0,0,0,0,0,0,0,0
80730585,2021,504,243,261,497,242,255,5,1,4,2,0,2
80730585,2022,501,236,265,496,233,263,2,1,1,3,2,1
80730585,2023,509,252,257,503,251,252,5,1,4,1,0,1
80730432,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730432,2019,1086,606,480,946,544,402,139,62,77,1,0,1
80730432,2020,1064,583,481,0,0,0,0,0,0,0,0,0
80730432,2021,1063,550,513,1056,547,509,7,3,4,0,0,0
80730432,2022,1097,567,530,1076,559,517,20,7,13,1,1,0
80730432,2023,1130,578,552,1114,573,541,16,5,11,0,0,0
80730433,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730433,2019,914,454,460,863,438,425,47,13,34,4,3,1
80730433,2020,915,450,465,0,0,0,0,0,0,0,0,0
80730433,2021,923,450,473,873,431,442,42,14,28,8,5,3
80730433,2022,956,459,497,910,444,466,42,11,31,4,4,0
