,nombre,latitud,longitud,dependencia,turno,nivel,foto_url,telefono,url,año,matricula_total,matricula_mujer,matricula_hombre,promovidos_total,promovidos_mujer,promovidos_hombre,reprobados_total,reprobados_mujer,reprobados_hombre,abandono_total,abandono_mujer,abandono_hombre,rude
143,Yachaykuna,-16.53934714197017,-68.07867665962864,privado,mañana,inicial primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F4e881129-bf71-48d4-8d92-cbae1007bb16%2FCaptura_de_pantalla_2025-04-03_081954-8_20_2.png,2750859 70581553,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730759,2023,156,60,96,152,58,94,0,0,0,4,2,2,80730759
149,Saint Andrews,-16.548807208963947,-68.08628254538925,privado,mañana,inicial primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F571b755b-8b4a-433b-b356-d6d4959f37d4%2FCaptura_de_pantalla_2025-04-03_080601-8_6_12.png,2792484 2794397,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730356,2023,1385,659,726,1376,655,721,0,0,0,9,4,5,80730356
155,Loretto,-16.54532031777888,-68.07861949180938,privado,mañana,inicial primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F1d54f608-62d4-4665-a58e-3dfb04e48767%2FCaptura_de_pantalla_2025-04-03_080014-8_0_28.png, ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730932,2023,495,227,268,493,226,267,2,1,1,0,0,0,80730932
161,Los Pinos,-16.541627792570267,-68.07642602570618,privado,mañana,inicial primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F158eadac-0056-446b-9cdd-a5be28ad059d%2FCaptura_de_pantalla_2025-04-03_075518-7_55_43.png,2795063 2795675,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730364,2023,801,383,418,781,370,411,11,8,3,9,5,4,80730364
167,Julio Cesar Patiño B,-16.53812644647466,-68.07779309146791,fiscal,mañana,primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F721ead30-68cc-4164-84f6-379684097412%2FCaptura_de_pantalla_2025-04-03_082849-8_30_45.png,76240882 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730623,2023,749,391,358,744,389,355,5,2,3,0,0,0,80730623
173,San Andres A,-16.538022276915484,-68.0710285634106,fiscal,mañana,secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Fdf0196a2-7144-41aa-98ca-690c60ee378e%2FCaptura_de_pantalla_2025-04-03_083442-8_34_50.png,2793179 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730325,2023,542,277,265,538,276,262,3,1,2,1,0,1,80730325
179,Cumbre,-16.538584,-68.071073,privado,mañana,primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F7a41265f-1033-4a71-a39b-c592744faf1e%2FCaptura_de_pantalla_2025-04-03_083205-8_32_32.png,2770606 70577476,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730347,2023,310,0,310,310,0,310,0,0,0,0,0,0,80730347
185,Jose Marti,-16.5013418,-68.1317216,fiscal,tarde,secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F80db7842-bd64-467a-a7fc-e9b9feaddbff%2FIMG-20250328-WA0004-19_52_29.jpg,77718099 72533811,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730404,2023,178,102,76,171,96,75,0,0,0,7,6,1,80730404
191,Republica De Argentina,-16.501600265503,-68.131828308105,fiscal,mañana,primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F490b52a1-418f-475d-ad31-e69e417468e8%2FIMG-20250328-WA0004-19_55_34.jpg,2368810 79683119,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730405,2023,499,277,222,493,276,217,5,1,4,1,0,1,80730405
197,San Andres B,-16.537977280054598,-68.0710198462307,fiscal,tarde,inicial primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Fd51d9836-1d39-4930-be3e-b61906b2f209%2FCaptura_de_pantalla_2025-04-03_083442-8_34_59.png,2793179 71595065,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730326,2023,520,269,251,520,269,251,0,0,0,0,0,0,80730326
203,Julio Cesar Patiño C,-16.53812644647466,-68.07779309146791,fiscal,tarde,primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F5a83109f-7c7f-44d0-b5d2-c5aafc722037%2FCaptura_de_pantalla_2025-04-03_082849-8_29_55.png,2796358 78831567,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730624,2023,719,318,401,696,308,388,15,6,9,8,4,4,80730624
209,Julio Cesar Patiño A,-16.537687924252044,-68.07778230649076,fiscal,mañana,inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F9e2e561b-7f69-455f-b3e1-ad0d33fa5c4f%2FCaptura_de_pantalla_2025-04-03_082849-8_29_32.png,71842234 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730622,2023,206,99,107,206,99,107,0,0,0,0,0,0,80730622
215,Julio Cesar Patiño D,-16.537711664204696,-68.07775754209976,fiscal,tarde,inicial,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F65e1da57-fef6-408e-8075-60e38d734b1f%2FCaptura_de_pantalla_2025-04-03_082849-8_29_24.png, ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730625,2023,210,97,113,210,97,113,0,0,0,0,0,0,80730625
221,Rene Barrientos Ortuño B,-16.538863048402035,-68.07806709698734,fiscal,tarde,secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Ff97e8492-60ea-40bf-9d63-fb5970a7e37e%2FCaptura_de_pantalla_2025-04-03_082747-8_27_57.png,2774319 72068841,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730621,2023,608,320,288,563,305,258,38,12,26,7,3,4,80730621
227,Boliviano Noruego B,-16.4968903,-68.1210113,privado,mañana,inicial primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F23ac5b94-f6f1-49fc-9ee9-172dfc6524f5%2FNoruego-21_50_43.jpg,2224404 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730585,2023,509,252,257,503,251,252,5,1,4,1,0,1,80730585
233,Hugo Davila A,-16.499235,-68.1195284,fiscal,mañana,secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Fa7e20f63-b563-4270-a55a-a5ec9848becd%2FhugoDavila-21_53_48.jpg,2245486 76214129,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730432,2023,1130,578,552,1114,573,541,16,5,11,0,0,0,80730432
239,Hugo Davila B,-16.499235,-68.1195284,fiscal,tarde,secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Fefa59c36-8785-4b61-a875-403715b097a5%2FhugoDavila-21_55_19.jpg,2220447 67047446,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730433,2023,917,450,467,870,436,434,45,14,31,2,0,2,80730433
245,Adventista Miraflores,-16.5006607,-68.1209167,privado,--,inicial primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Fef9be4e6-2f87-4d5b-aa8c-a5cf2202da9f%2FAdventista-21_57_8.jpg,2223952 72037355,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730480,2023,539,284,255,537,282,255,0,0,0,2,2,0,80730480
251,La Salle A,-16.548492022158598,-68.08968951999174,fiscal,tarde,secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Ff4df327e-057c-4d5d-b21c-1925f2cb7be2%2FCaptura_de_pantalla_2025-04-03_080957-8_10_8.png,2795178 70694008,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730331,2023,416,222,194,407,219,188,8,3,5,1,0,1,80730331
257,Santa Rosa La Florida B,-16.545753923568427,-68.091560463471,fiscal,tarde,secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F312aff86-2409-48d6-bc4c-1b313f7b2de0%2FCaptura_de_pantalla_2025-04-03_082415-8_24_44.png,72411132 2770876,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730333,2023,287,148,139,262,139,123,17,3,14,8,6,2,80730333
